Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,14648.447,-1.399,1.348,2.799,4.354,2.869,1.009,11.58,3.538
2.0,,,33772.734,-1.399,1.348,2.799,4.353,2.854,2.878,11.485,10.766
3.0,,,52802.238,-1.399,1.348,2.799,4.354,2.846,2.872,11.451,10.758
4.0,,,71725.89,-1.399,1.348,2.799,4.354,2.842,2.869,11.432,10.752
5.0,,,79109.117,-1.399,-1.397,2.799,4.25,0.0,2.865,0.0,10.743
6.0,,,183280.921,-1.399,1.348,2.799,4.353,2.841,2.891,11.445,11.053
7.0,,,192760.344,-1.4,1.398,2.999,4.3,2.314,1.301,9.235,4.619
8.0,,,204863.96,-1.4,1.398,2.999,4.3,2.318,2.315,9.246,8.491
9.0,,,216957.945,-1.4,1.398,2.999,4.3,2.316,2.314,9.237,8.486
10.0,,,229038.968,-1.4,1.399,2.999,4.3,2.313,2.311,9.227,8.479
11.0,,,705230.265,-2.799,2.8,2.999,4.529,2.87,2.729,11.753,10.505
12.0,,,714629.272,-1.405,1.401,2.999,4.3,2.323,1.277,9.253,4.545
13.0,,,726810.617,-1.406,1.401,2.999,4.3,2.318,2.35,9.221,8.668
14.0,,,738984.57,-1.406,1.4,2.999,4.3,2.315,2.352,9.21,8.68
15.0,,,751127.769,-1.405,1.401,2.999,4.3,2.313,2.345,9.204,8.649
16.0,,,1213648.015,-2.802,2.802,2.999,4.3,2.799,2.931,11.419,11.293
17.0,,,1221994.606,-4.199,1.349,2.999,4.303,1.403,2.638,5.814,9.323
18.0,,,1233569.966,-4.199,1.35,2.999,4.304,2.614,2.635,10.491,9.319
19.0,,,1245128.111,-4.198,1.349,2.999,4.303,2.611,2.632,10.478,9.309
20.0,,,1256629.582,-4.199,1.349,2.999,4.304,2.607,2.627,10.462,9.292
21.0,,,1268130.796,-4.199,1.349,2.999,4.304,2.603,2.626,10.448,9.29
22.0,,,1279632.843,-4.199,1.349,2.999,4.303,2.601,2.621,10.439,9.275
23.0,,,1291098.703,-4.199,1.349,2.999,4.303,2.598,2.62,10.426,9.268
24.0,,,1302536.914,-4.199,1.349,2.999,4.303,2.594,2.617,10.414,9.257
25.0,,,1313960.945,-4.199,1.349,2.999,4.304,2.591,2.613,10.401,9.244
26.0,,,1325384.562,-4.199,1.349,2.999,4.304,2.588,2.611,10.39,9.235
27.0,,,1336824.078,-4.199,1.349,2.999,4.304,2.586,2.609,10.382,9.23
28.0,,,1348239.859,-4.199,1.349,2.999,4.303,2.584,2.604,10.374,9.215
29.0,,,1359622.828,-4.199,1.349,2.999,4.304,2.58,2.604,10.36,9.215
30.0,,,1370995.953,-4.199,1.349,2.999,4.304,2.58,2.601,10.358,9.205
31.0,,,1382361.781,-4.198,1.349,2.999,4.303,2.578,2.601,10.351,9.202
32.0,,,1393737.484,-4.198,1.349,2.999,4.303,2.576,2.598,10.344,9.194
33.0,,,1405118.453,-4.198,1.349,2.999,4.304,2.574,2.597,10.337,9.19
34.0,,,1416480.625,-4.199,1.349,2.999,4.304,2.572,2.593,10.329,9.174
35.0,,,1427820.718,-4.199,1.349,2.999,4.303,2.57,2.593,10.321,9.175
36.0,,,1439158.953,-4.199,1.349,2.999,4.303,2.568,2.591,10.314,9.168
37.0,,,1450520.296,-4.199,1.349,2.999,4.304,2.567,2.59,10.31,9.165
38.0,,,1461847.187,-4.199,1.349,2.999,4.303,2.565,2.587,10.303,9.154
39.0,,,1473181.359,-4.199,1.349,2.999,4.303,2.563,2.587,10.297,9.151
40.0,,,1527813.234,-4.199,1.349,2.999,4.304,2.563,2.584,10.329,9.12
41.0,,,1539223.078,-4.199,1.349,2.999,4.303,2.56,2.59,10.316,9.148
42.0,,,1550575.765,-4.198,1.349,2.999,4.303,2.566,2.593,10.31,9.171
43.0,,,1561957.046,-4.198,1.349,2.999,4.303,2.569,2.59,10.319,9.162
44.0,,,1573295.203,-4.198,1.349,2.999,4.303,2.565,2.587,10.305,9.149
45.0,,,1584637.796,-4.198,1.349,2.999,4.304,2.562,2.584,10.292,9.139
46.0,,,1595928.109,-4.199,1.349,2.999,4.304,2.558,2.58,10.278,9.124
47.0,,,1607261.765,-4.199,1.349,2.999,4.304,2.556,2.579,10.272,9.122
48.0,,,1618573.953,-4.199,1.349,2.999,4.303,2.554,2.576,10.263,9.112
49.0,,,1629877.64,-4.199,1.349,2.999,4.303,2.552,2.575,10.255,9.106
50.0,,,1641170.765,-4.198,1.349,2.999,4.303,2.55,2.57,10.247,9.091
51.0,,,1652467.89,-4.199,1.349,2.999,4.303,2.547,2.57,10.237,9.087
52.0,,,1663762.796,-4.199,1.349,2.999,4.303,2.545,2.567,10.229,9.077
53.0,,,1675033.609,-4.199,1.349,2.999,4.304,2.542,2.562,10.217,9.06
54.0,,,1686310.421,-4.199,1.349,2.999,4.303,2.54,2.562,10.21,9.059
55.0,,,1697591.109,-4.199,1.349,2.999,4.304,2.539,2.562,10.205,9.059
56.0,,,1708840.39,-4.199,1.349,2.999,4.303,2.537,2.56,10.197,9.051
57.0,,,1720087.359,-4.199,1.349,2.999,4.304,2.535,2.558,10.191,9.044
58.0,,,1731312.703,-4.199,1.349,2.999,4.304,2.534,2.556,10.184,9.037
59.0,,,1742557.203,-4.198,1.349,2.999,4.303,2.532,2.554,10.179,9.027
60.0,,,1753809.703,-4.198,1.349,2.999,4.303,2.53,2.553,10.173,9.024
61.0,,,1765028.828,-4.199,1.349,2.999,4.303,2.528,2.548,10.164,9.008
62.0,,,1776234.578,-4.199,1.349,2.999,4.304,2.527,2.55,10.158,9.013
63.0,,,1787475.828,-4.198,1.349,2.999,4.304,2.526,2.549,10.158,9.011
64.0,,,1841928.89,-4.199,1.349,2.999,4.303,2.525,2.542,10.182,8.96
65.0,,,2062486.812,-0.117,0.106,2.999,4.3,2.475,2.851,9.66,11.0
66.0,,,2074153.531,-4.199,1.349,2.999,4.302,2.644,2.552,10.632,8.991
67.0,,,2085465.626,-4.199,1.349,2.999,4.301,2.535,2.54,10.194,8.961
68.0,,,2096754.3,-4.199,1.349,2.999,4.301,2.534,2.54,10.186,8.962
69.0,,,2108004.476,-4.199,1.349,2.999,4.301,2.531,2.546,10.173,8.98
70.0,,,2119258.746,-4.199,1.349,2.999,4.301,2.528,2.54,10.162,8.96
71.0,,,2130527.578,-4.199,1.349,2.999,4.302,2.526,2.541,10.154,8.964
72.0,,,2141773.531,-4.199,1.349,2.999,4.304,2.523,2.526,10.144,8.914
73.0,,,2153004.703,-4.199,1.349,2.999,4.301,2.519,2.535,10.129,8.943
74.0,,,2164212.382,-4.199,1.349,2.999,4.301,2.516,2.532,10.118,8.931
