Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,14684.703,-1.399,1.35,2.832,4.353,2.874,0.996,11.598,3.494
2.0,,,33761.375,-1.399,1.35,2.799,4.352,2.848,2.852,11.463,10.668
3.0,,,52704.894,-1.399,1.35,2.821,4.353,2.837,2.842,11.414,10.646
4.0,,,71548.093,-1.399,1.35,2.805,4.353,2.833,2.839,11.395,10.642
5.0,,,78856.414,-1.399,-1.398,2.819,4.25,0.0,2.836,0.0,10.637
6.0,,,182782.585,-1.399,1.35,2.845,4.353,2.834,2.863,11.421,10.948
7.0,,,192342.649,-1.401,1.401,2.999,4.3,2.344,1.314,9.335,4.694
8.0,,,204642.201,-1.401,1.4,2.999,4.3,2.346,2.369,9.331,8.746
9.0,,,216928.441,-1.401,1.4,2.999,4.3,2.34,2.37,9.305,8.753
10.0,,,229184.984,-1.402,1.4,2.999,4.3,2.322,2.362,9.235,8.722
11.0,,,684971.929,-2.799,2.802,2.999,4.459,2.81,2.921,11.463,11.253
12.0,,,693324.344,-4.196,1.35,2.999,4.303,1.398,2.657,5.794,9.407
13.0,,,704946.521,-4.196,1.35,2.999,4.302,2.632,2.654,10.56,9.403
14.0,,,716510.167,-4.196,1.35,2.999,4.302,2.629,2.65,10.544,9.389
15.0,,,728067.992,-4.196,1.35,2.999,4.302,2.626,2.647,10.532,9.38
16.0,,,739611.738,-4.196,1.35,2.999,4.303,2.623,2.644,10.521,9.371
17.0,,,751144.664,-4.196,1.35,2.999,4.303,2.62,2.639,10.509,9.353
18.0,,,762659.195,-4.196,1.35,2.999,4.302,2.617,2.638,10.497,9.351
19.0,,,774141.015,-4.196,1.35,2.999,4.302,2.614,2.635,10.484,9.336
20.0,,,785624.023,-4.196,1.35,2.999,4.302,2.61,2.632,10.471,9.328
21.0,,,797102.679,-4.196,1.35,2.999,4.302,2.608,2.628,10.462,9.312
22.0,,,808574.296,-4.196,1.35,2.999,4.302,2.605,2.627,10.453,9.31
23.0,,,820004.632,-4.196,1.35,2.999,4.302,2.602,2.619,10.441,9.284
24.0,,,831444.539,-4.196,1.35,2.999,4.303,2.601,2.622,10.435,9.292
25.0,,,842860.085,-4.196,1.35,2.999,4.302,2.599,2.619,10.426,9.283
26.0,,,854279.601,-4.196,1.35,2.999,4.302,2.597,2.618,10.422,9.278
27.0,,,865686.835,-4.196,1.35,2.999,4.302,2.594,2.616,10.409,9.27
28.0,,,877059.742,-4.196,1.35,2.999,4.303,2.592,2.614,10.401,9.263
29.0,,,888459.039,-4.196,1.35,2.999,4.303,2.59,2.612,10.396,9.257
30.0,,,899802.335,-4.196,1.35,2.999,4.302,2.587,2.608,10.384,9.242
31.0,,,911168.054,-4.196,1.35,2.999,4.303,2.586,2.608,10.38,9.243
32.0,,,922529.523,-4.196,1.35,2.999,4.302,2.584,2.607,10.373,9.237
33.0,,,933868.789,-4.196,1.35,2.999,4.302,2.582,2.602,10.365,9.222
34.0,,,945229.335,-4.196,1.35,2.999,4.302,2.581,2.603,10.362,9.224
35.0,,,999850.023,-4.196,2.079,2.999,4.302,2.581,2.601,10.396,9.196
36.0,,,1011304.992,-4.195,1.35,2.999,4.303,2.58,2.608,10.388,9.23
37.0,,,1022717.742,-4.196,1.35,2.999,4.302,2.587,2.611,10.387,9.249
38.0,,,1034074.023,-4.196,1.35,2.999,4.303,2.586,2.605,10.382,9.23
39.0,,,1045450.867,-4.196,1.35,2.999,4.303,2.583,2.604,10.371,9.226
40.0,,,1056812.46,-4.196,1.35,2.999,4.302,2.58,2.601,10.358,9.214
41.0,,,1068143.867,-4.196,1.35,2.999,4.302,2.577,2.597,10.346,9.199
42.0,,,1079473.46,-4.196,1.35,2.999,4.302,2.574,2.594,10.336,9.19
43.0,,,1090785.273,-4.196,1.35,2.999,4.303,2.572,2.595,10.329,9.192
44.0,,,1102126.898,-4.196,1.35,2.999,4.303,2.571,2.593,10.323,9.185
45.0,,,1113443.46,-4.196,1.35,2.999,4.302,2.568,2.588,10.313,9.17
46.0,,,1124748.804,-4.196,1.35,2.999,4.302,2.566,2.588,10.305,9.167
47.0,,,1136040.804,-4.196,1.35,2.999,4.302,2.564,2.583,10.296,9.149
48.0,,,1147322.96,-4.196,1.35,2.999,4.302,2.561,2.583,10.288,9.147
49.0,,,1158605.867,-4.196,1.35,2.999,4.302,2.559,2.58,10.28,9.137
50.0,,,1169898.304,-4.196,1.35,2.999,4.303,2.558,2.58,10.274,9.138
51.0,,,1181160.273,-4.196,1.35,2.999,4.302,2.556,2.577,10.266,9.127
52.0,,,1192417.429,-4.196,1.35,2.999,4.302,2.554,2.574,10.259,9.117
53.0,,,1203676.242,-4.196,1.35,2.999,4.302,2.552,2.574,10.252,9.115
54.0,,,1214927.554,-4.196,1.35,2.999,4.303,2.55,2.572,10.244,9.105
55.0,,,1226178.679,-4.196,1.35,2.999,4.303,2.548,2.569,10.238,9.095
56.0,,,1237395.617,-4.196,1.35,2.999,4.302,2.546,2.568,10.228,9.092
57.0,,,1248640.679,-4.196,1.35,2.999,4.303,2.545,2.566,10.225,9.085
58.0,,,1259831.492,-4.196,1.35,2.999,4.302,2.543,2.563,10.217,9.075
