Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,14782.111,-1.4,1.35,2.799,4.353,2.879,0.999,11.62,3.501
2.0,,,33944.671,-1.4,1.35,2.799,4.352,2.852,2.849,11.482,10.653
3.0,,,52935.421,-1.4,1.35,2.799,4.352,2.836,2.835,11.417,10.619
4.0,,,71844.929,-1.4,1.35,2.799,4.353,2.834,2.834,11.404,10.618
5.0,,,79735.296,-1.4,0.0,2.799,4.247,0.0,2.831,0.0,10.612
6.0,,,187080.609,-1.4,1.35,2.799,4.353,2.833,2.844,11.398,10.869
7.0,,,196671.711,-1.397,1.403,2.999,4.3,2.351,1.317,9.356,4.709
8.0,,,208990.4,-1.397,1.402,2.999,4.3,2.35,2.368,9.344,8.753
9.0,,,221292.417,-1.398,1.402,2.999,4.3,2.328,2.369,9.251,8.758
10.0,,,233565.503,-1.398,1.402,2.999,4.3,2.339,2.363,9.3,8.729
11.0,,,695229.703,-2.797,2.802,2.999,4.3,2.815,2.901,11.48,11.178
12.0,,,703591.686,-4.199,1.352,2.999,4.303,1.4,2.655,5.801,9.416
13.0,,,715223.654,-4.199,1.352,2.999,4.303,2.637,2.653,10.573,9.417
14.0,,,726797.349,-4.199,1.351,2.999,4.303,2.635,2.649,10.563,9.402
15.0,,,738375.207,-4.199,1.352,2.999,4.303,2.631,2.644,10.551,9.386
16.0,,,749928.871,-4.199,1.351,2.999,4.303,2.627,2.641,10.534,9.377
17.0,,,761478.21,-4.199,1.352,2.999,4.303,2.625,2.638,10.527,9.368
18.0,,,772998.664,-4.199,1.352,2.999,4.303,2.622,2.635,10.514,9.357
19.0,,,784526.789,-4.199,1.351,2.999,4.303,2.62,2.634,10.504,9.351
20.0,,,796026.82,-4.199,1.352,2.999,4.303,2.616,2.63,10.49,9.336
21.0,,,807535.14,-4.199,1.352,2.999,4.303,2.613,2.628,10.48,9.33
22.0,,,819033.062,-4.199,1.352,2.999,4.303,2.611,2.626,10.471,9.321
23.0,,,830528.109,-4.199,1.352,2.999,4.303,2.609,2.62,10.464,9.302
24.0,,,841987.234,-4.199,1.352,2.999,4.303,2.606,2.621,10.454,9.306
25.0,,,853458.765,-4.199,1.352,2.999,4.303,2.604,2.62,10.447,9.301
