Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,14689.918,-1.402,1.351,2.817,4.352,2.867,1.01,11.586,3.53
2.0,,,33791.519,-1.402,1.351,2.799,4.351,2.847,2.859,11.474,10.669
3.0,,,52787.773,-1.402,1.351,2.799,4.352,2.833,2.846,11.414,10.635
4.0,,,71622.109,-1.402,1.351,2.799,4.351,2.826,2.842,11.386,10.628
5.0,,,79514.593,-1.402,0.0,2.799,4.241,0.0,2.837,0.0,10.612
6.0,,,186979.328,-1.402,1.351,2.799,4.352,2.824,2.86,11.375,10.922
7.0,,,196525.342,-1.398,1.404,3.03,4.3,2.329,1.31,9.273,4.679
8.0,,,208766.08,-1.398,1.404,3.073,4.3,2.329,2.341,9.259,8.643
9.0,,,220991.488,-1.398,1.404,3.08,4.3,2.325,2.342,9.245,8.647
10.0,,,233183.871,-1.398,1.403,3.028,4.3,2.322,2.342,9.237,8.637
11.0,,,695285.078,-2.798,2.801,3.0,4.299,2.946,2.843,11.929,10.951
12.0,,,703711.733,-4.197,1.352,2.999,4.303,1.406,2.643,5.829,9.339
13.0,,,715405.109,-4.197,1.352,2.999,4.303,2.629,2.64,10.551,9.334
14.0,,,727074.677,-4.197,1.352,2.999,4.304,2.627,2.641,10.546,9.339
15.0,,,738730.23,-4.197,1.352,2.999,4.303,2.625,2.635,10.536,9.319
16.0,,,750379.156,-4.197,1.352,3.005,4.303,2.623,2.635,10.528,9.322
17.0,,,761997.492,-4.197,1.352,2.999,4.303,2.62,2.631,10.515,9.306
18.0,,,773591.218,-4.197,1.352,2.999,4.303,2.617,2.628,10.502,9.299
19.0,,,785205.718,-4.197,1.352,2.999,4.303,2.613,2.62,10.49,9.27
20.0,,,796765.656,-4.197,1.352,3.003,4.303,2.609,2.621,10.473,9.273
21.0,,,808350.578,-4.197,1.352,2.999,4.303,2.606,2.617,10.463,9.256
22.0,,,819894.421,-4.197,1.352,2.999,4.303,2.603,2.612,10.451,9.24
23.0,,,831426.234,-4.197,1.353,2.999,4.303,2.6,2.606,10.439,9.218
24.0,,,842952.218,-4.197,1.352,2.999,4.303,2.598,2.607,10.43,9.222
25.0,,,854479.484,-4.197,1.352,2.999,4.303,2.596,2.608,10.422,9.228
26.0,,,865983.671,-4.197,1.352,2.999,4.303,2.592,2.606,10.41,9.219
27.0,,,877498.812,-4.197,1.352,3.001,4.303,2.59,2.6,10.401,9.199
28.0,,,888970.546,-4.197,1.352,2.999,4.303,2.587,2.6,10.39,9.199
29.0,,,900461.875,-4.197,1.352,2.999,4.303,2.585,2.598,10.383,9.191
30.0,,,911946.703,-4.197,1.352,2.999,4.303,2.582,2.592,10.373,9.17
31.0,,,923407.671,-4.197,1.352,3.007,4.303,2.58,2.587,10.365,9.155
32.0,,,934842.453,-4.197,1.352,2.999,4.303,2.578,2.59,10.357,9.16
33.0,,,946320.015,-4.197,1.352,3.005,4.303,2.577,2.59,10.352,9.164
34.0,,,957762.64,-4.197,1.352,3.005,4.303,2.574,2.584,10.342,9.14
35.0,,,1012174.046,-4.198,1.352,3.006,4.303,2.629,2.759,10.574,9.848
36.0,,,1023982.703,-4.197,1.352,2.999,4.303,2.576,2.592,10.381,9.159
37.0,,,1035457.359,-4.197,1.353,2.999,4.303,2.581,2.595,10.371,9.177
38.0,,,1046936.234,-4.197,1.352,2.999,4.302,2.58,2.592,10.363,9.168
39.0,,,1058384.234,-4.197,1.352,3.005,4.303,2.576,2.581,10.35,9.128
40.0,,,1069832.265,-4.197,1.352,3.004,4.302,2.573,2.579,10.337,9.118
41.0,,,1081268.89,-4.197,1.352,2.999,4.303,2.569,2.581,10.324,9.127
42.0,,,1092681.171,-4.197,1.352,2.999,4.303,2.566,2.578,10.313,9.117
43.0,,,1104091.859,-4.197,1.352,3.0,4.303,2.564,2.575,10.306,9.108
44.0,,,1115477.515,-4.197,1.352,2.999,4.303,2.562,2.574,10.297,9.101
45.0,,,1126845.39,-4.197,1.352,3.001,4.303,2.559,2.571,10.287,9.088
46.0,,,1138227.921,-4.197,1.352,2.999,4.303,2.557,2.569,10.278,9.082
47.0,,,1149557.453,-4.197,1.352,2.999,4.303,2.554,2.566,10.267,9.069
48.0,,,1160928.171,-4.197,1.352,2.999,4.304,2.552,2.563,10.26,9.061
49.0,,,1172269.203,-4.197,1.352,3.006,4.303,2.55,2.562,10.25,9.057
50.0,,,1183625.296,-4.197,1.352,2.999,4.303,2.548,2.561,10.244,9.051
51.0,,,1194961.515,-4.197,1.352,3.006,4.303,2.546,2.558,10.236,9.041
52.0,,,1206295.765,-4.197,1.352,2.999,4.303,2.545,2.559,10.232,9.045
53.0,,,1217640.515,-4.197,1.352,2.999,4.303,2.543,2.556,10.223,9.036
54.0,,,1228939.828,-4.197,1.352,3.004,4.303,2.54,2.554,10.215,9.026
55.0,,,1240259.265,-4.197,1.352,3.0,4.303,2.539,2.549,10.208,9.01
56.0,,,1251613.203,-4.197,1.352,2.999,4.303,2.537,2.55,10.204,9.013
57.0,,,1262923.328,-4.197,1.352,3.0,4.303,2.535,2.548,10.196,9.005
58.0,,,1274226.828,-4.197,1.352,2.999,4.303,2.534,2.544,10.191,8.989
59.0,,,1328496.265,-4.198,1.352,3.006,4.303,2.589,2.717,10.423,9.686
60.0,,,1548623.5,-0.111,0.112,3.011,4.299,2.567,2.761,10.017,10.653
61.0,,,1560394.378,-4.197,1.352,2.999,4.301,2.651,2.547,10.666,8.978
62.0,,,1571800.81,-4.197,1.353,3.005,4.301,2.546,2.551,10.239,9.003
63.0,,,1583194.347,-4.197,1.352,2.999,4.301,2.546,2.543,10.235,8.971
64.0,,,1594563.98,-4.197,1.352,2.999,4.301,2.542,2.553,10.22,9.01
65.0,,,1605917.226,-4.197,1.352,3.011,4.301,2.539,2.533,10.209,8.943
66.0,,,1617268.171,-4.197,1.352,2.999,4.302,2.536,2.543,10.197,8.966
67.0,,,1628586.953,-4.197,1.352,2.999,4.303,2.533,2.535,10.187,8.947
68.0,,,1639929.421,-4.197,1.352,2.999,4.301,2.531,2.528,10.177,8.92
69.0,,,1651245.101,-4.197,1.352,3.005,4.301,2.528,2.536,10.165,8.951
70.0,,,1662566.89,-4.197,1.352,2.999,4.301,2.526,2.539,10.158,8.961
71.0,,,1673854.156,-4.197,1.352,2.999,4.301,2.524,2.541,10.151,8.972
72.0,,,1685159.687,-4.197,1.352,3.006,4.302,2.522,2.519,10.145,8.895
73.0,,,1696448.812,-4.197,1.352,3.001,4.303,2.52,2.529,10.135,8.935
74.0,,,1707722.312,-4.197,1.353,3.001,4.301,2.518,2.522,10.127,8.905
75.0,,,1718976.203,-4.197,1.353,2.999,4.301,2.515,2.512,10.119,8.862
76.0,,,1730210.609,-4.197,1.352,2.999,4.301,2.512,2.523,10.107,8.906
77.0,,,1741473.453,-4.197,1.352,2.999,4.301,2.511,2.519,10.103,8.889
78.0,,,1752694.031,-4.197,1.352,2.999,4.301,2.509,2.517,10.095,8.878
79.0,,,1763926.609,-4.197,1.352,2.999,4.302,2.508,2.524,10.089,8.909
80.0,,,1775209.421,-4.197,1.352,2.999,4.303,2.507,2.512,10.087,8.858
81.0,,,1786445.937,-4.197,1.352,2.999,4.301,2.503,2.515,10.073,8.882
82.0,,,1797677.0,-4.197,1.352,3.011,4.301,2.502,2.515,10.067,8.88
83.0,,,1808916.687,-4.197,1.352,2.999,4.301,2.5,2.516,10.06,8.883
84.0,,,1863110.781,-4.198,1.352,3.002,4.303,2.555,2.683,10.298,9.552
85.0,,,1874710.531,-4.197,1.352,2.999,4.301,2.498,2.516,10.088,8.864
86.0,,,1885989.75,-4.197,1.352,3.003,4.301,2.505,2.497,10.084,8.805
87.0,,,1897256.843,-4.197,1.352,3.002,4.301,2.504,2.511,10.079,8.864
88.0,,,1908480.406,-4.197,1.352,2.999,4.301,2.501,2.508,10.068,8.85
89.0,,,1919715.781,-4.197,1.352,2.999,4.301,2.499,2.516,10.057,8.883
90.0,,,1930931.75,-4.197,1.352,2.999,4.302,2.497,2.506,10.05,8.84
91.0,,,1942156.687,-4.197,1.352,2.999,4.303,2.495,2.513,10.043,8.865
92.0,,,1953358.125,-4.197,1.352,2.999,4.301,2.493,2.5,10.034,8.811
