Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,14963.455,-1.399,1.347,2.799,4.352,2.879,1.015,11.654,3.538
2.0,,,34351.742,-1.399,1.348,2.799,4.352,2.863,2.866,11.556,10.671
3.0,,,53575.839,-1.399,1.348,2.799,4.352,2.847,2.852,11.49,10.635
4.0,,,72703.71,-1.399,1.348,2.799,4.352,2.839,2.845,11.458,10.616
5.0,,,80629.664,-1.399,0.0,2.799,4.233,0.0,2.842,0.0,10.609
6.0,,,188545.015,-1.399,1.348,2.799,4.352,2.837,2.856,11.447,10.896
7.0,,,198129.877,-1.399,1.4,3.153,4.3,2.363,1.276,9.407,4.568
8.0,,,210429.972,-1.399,1.4,2.999,4.3,2.353,2.348,9.352,8.666
9.0,,,222717.91,-1.399,1.399,2.999,4.3,2.355,2.35,9.363,8.676
10.0,,,234971.382,-1.399,1.4,2.999,4.3,2.346,2.343,9.332,8.643
11.0,,,700280.703,-2.799,2.802,2.999,4.3,2.871,2.713,11.711,10.339
12.0,,,708895.038,-4.202,1.349,2.999,4.303,1.425,2.642,5.906,9.35
13.0,,,720785.47,-4.202,1.349,2.999,4.303,2.65,2.641,10.635,9.357
14.0,,,732651.357,-4.202,1.349,2.999,4.303,2.649,2.637,10.63,9.345
15.0,,,744539.261,-4.202,1.349,2.999,4.304,2.648,2.638,10.623,9.349
16.0,,,756414.429,-4.202,1.349,2.999,4.303,2.646,2.634,10.616,9.34
17.0,,,768270.234,-4.202,1.349,2.999,4.303,2.644,2.636,10.607,9.348
18.0,,,780088.828,-4.202,1.349,2.999,4.303,2.64,2.629,10.594,9.323
19.0,,,791908.734,-4.202,1.349,2.999,4.303,2.638,2.628,10.584,9.319
20.0,,,803790.812,-4.202,1.349,2.999,4.304,2.636,2.623,10.577,9.303
21.0,,,815593.953,-4.202,1.349,2.999,4.303,2.632,2.62,10.563,9.292
22.0,,,827377.664,-4.202,1.349,2.999,4.303,2.628,2.618,10.549,9.284
23.0,,,839141.765,-4.202,1.349,2.999,4.303,2.626,2.616,10.539,9.276
24.0,,,850912.89,-4.202,1.349,2.999,4.304,2.624,2.614,10.532,9.269
25.0,,,862672.031,-4.202,1.349,2.999,4.304,2.621,2.609,10.523,9.252
26.0,,,874413.5,-4.202,1.349,2.999,4.304,2.619,2.606,10.512,9.241
27.0,,,886175.265,-4.202,1.349,2.999,4.303,2.617,2.606,10.505,9.239
28.0,,,897902.781,-4.202,1.349,2.999,4.303,2.614,2.603,10.494,9.228
29.0,,,909626.843,-4.202,1.349,2.999,4.303,2.611,2.6,10.485,9.218
30.0,,,921292.578,-4.202,1.349,2.999,4.304,2.608,2.598,10.474,9.207
31.0,,,932964.703,-4.202,1.349,2.999,4.304,2.607,2.597,10.467,9.203
32.0,,,944582.39,-4.202,1.349,2.999,4.303,2.604,2.592,10.457,9.186
33.0,,,956236.343,-4.202,1.349,2.999,4.303,2.602,2.592,10.451,9.185
34.0,,,967875.515,-4.202,1.349,2.999,4.303,2.6,2.589,10.441,9.174
35.0,,,1022810.14,-4.202,1.349,2.999,4.303,2.598,2.59,10.468,9.161
36.0,,,1034509.078,-4.202,1.349,2.999,4.303,2.602,2.603,10.478,9.219
37.0,,,1046191.953,-4.202,1.349,2.999,4.303,2.608,2.596,10.474,9.192
38.0,,,1057876.328,-4.202,1.349,3.006,4.303,2.604,2.589,10.457,9.17
39.0,,,1069502.484,-4.202,1.349,2.999,4.303,2.599,2.587,10.437,9.161
40.0,,,1081090.265,-4.202,1.349,2.999,4.303,2.595,2.581,10.421,9.138
41.0,,,1092680.328,-4.202,1.35,2.999,4.304,2.591,2.581,10.407,9.138
42.0,,,1104236.359,-4.202,1.349,2.999,4.303,2.589,2.58,10.397,9.137
43.0,,,1115784.796,-4.202,1.349,2.999,4.303,2.586,2.575,10.387,9.118
44.0,,,1127372.328,-4.202,1.349,2.999,4.303,2.585,2.574,10.382,9.113
45.0,,,1138951.64,-4.202,1.349,2.999,4.303,2.582,2.572,10.373,9.104
46.0,,,1150506.046,-4.202,1.349,2.999,4.304,2.58,2.571,10.364,9.1
47.0,,,1162077.671,-4.202,1.349,2.999,4.303,2.577,2.567,10.355,9.084
48.0,,,1173604.671,-4.202,1.349,2.999,4.304,2.575,2.564,10.345,9.075
49.0,,,1185120.015,-4.202,1.349,2.999,4.303,2.573,2.566,10.337,9.081
50.0,,,1196657.734,-4.201,1.349,2.999,4.304,2.572,2.561,10.335,9.066
51.0,,,1208179.39,-4.202,1.349,2.999,4.303,2.57,2.561,10.327,9.064
