Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,14685.663,-1.401,1.351,2.799,4.351,2.873,1.009,11.597,3.536
2.0,,,33743.007,-1.4,1.351,2.799,4.351,2.849,2.851,11.47,10.659
3.0,,,52716.0,-1.4,1.351,2.799,4.351,2.841,2.844,11.435,10.648
4.0,,,71623.937,-1.4,1.351,2.799,4.352,2.839,2.843,11.422,10.65
5.0,,,79539.265,-1.4,0.0,2.799,4.247,0.0,2.841,0.0,10.645
6.0,,,187079.203,-1.4,1.352,2.799,4.352,2.839,2.854,11.417,10.907
7.0,,,196684.736,-1.4,1.399,2.999,4.299,2.352,1.31,9.359,4.676
8.0,,,209019.519,-1.4,1.398,2.999,4.299,2.353,2.36,9.348,8.713
9.0,,,221339.902,-1.4,1.398,2.999,4.299,2.356,2.362,9.365,8.72
10.0,,,233626.273,-1.4,1.398,2.999,4.299,2.351,2.354,9.347,8.686
11.0,,,697994.14,-2.8,2.8,2.999,4.3,2.856,2.746,11.649,10.578
12.0,,,706549.755,-4.199,1.347,2.999,4.304,1.421,2.646,5.888,9.357
13.0,,,718371.228,-4.2,1.347,2.999,4.304,2.646,2.646,10.615,9.365
14.0,,,730187.419,-4.199,1.347,2.999,4.304,2.645,2.644,10.61,9.359
15.0,,,741969.628,-4.198,1.347,2.999,4.304,2.642,2.64,10.599,9.35
16.0,,,753740.859,-4.198,1.347,2.999,4.304,2.64,2.638,10.59,9.342
17.0,,,765511.195,-4.198,1.347,2.999,4.304,2.637,2.635,10.58,9.334
18.0,,,777268.539,-4.198,1.347,2.999,4.303,2.635,2.632,10.571,9.325
19.0,,,789026.265,-4.198,1.347,2.999,4.304,2.632,2.629,10.56,9.315
20.0,,,800745.179,-4.199,1.347,2.999,4.304,2.628,2.626,10.546,9.304
21.0,,,812479.32,-4.198,1.347,2.999,4.304,2.625,2.623,10.535,9.293
22.0,,,824218.398,-4.198,1.347,2.999,4.304,2.622,2.62,10.523,9.283
23.0,,,835916.5,-4.198,1.347,2.999,4.304,2.619,2.618,10.51,9.274
24.0,,,847578.968,-4.198,1.347,2.999,4.304,2.615,2.612,10.498,9.256
25.0,,,859263.875,-4.198,1.347,2.999,4.304,2.613,2.612,10.49,9.254
26.0,,,870915.609,-4.198,1.347,2.999,4.304,2.611,2.609,10.482,9.243
27.0,,,882563.64,-4.198,1.347,2.999,4.304,2.608,2.607,10.472,9.233
28.0,,,894177.781,-4.198,1.347,2.999,4.304,2.606,2.604,10.461,9.223
29.0,,,905804.312,-4.198,1.347,2.999,4.304,2.603,2.602,10.451,9.215
30.0,,,917408.703,-4.198,1.347,2.999,4.304,2.6,2.599,10.441,9.206
31.0,,,928993.171,-4.198,1.347,2.999,4.303,2.598,2.598,10.432,9.199
32.0,,,940564.5,-4.198,1.347,2.999,4.304,2.596,2.595,10.424,9.19
33.0,,,952144.89,-4.199,1.347,2.999,4.304,2.594,2.593,10.418,9.182
34.0,,,963718.984,-4.199,1.347,2.999,4.304,2.592,2.59,10.408,9.17
35.0,,,1018544.359,-4.199,1.347,2.999,4.304,2.59,2.591,10.435,9.16
36.0,,,1030172.703,-4.198,1.347,2.999,4.304,2.593,2.598,10.445,9.194
37.0,,,1041782.14,-4.2,1.347,2.999,4.304,2.598,2.598,10.435,9.194
