Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,14627.487,-1.404,1.351,2.799,4.352,2.877,1.012,11.608,3.545
2.0,,,33679.742,-1.404,1.351,2.799,4.353,2.864,2.88,11.526,10.766
3.0,,,52658.046,-1.404,1.351,2.799,4.352,2.854,2.871,11.483,10.744
4.0,,,71565.406,-1.404,1.351,2.799,4.353,2.851,2.868,11.468,10.744
5.0,,,79519.773,-1.404,0.0,2.799,4.247,0.0,2.864,0.0,10.733
6.0,,,187070.046,-1.404,1.351,2.799,4.353,2.849,2.88,11.458,11.006
7.0,,,196673.565,-1.397,1.401,3.018,4.3,2.353,1.31,9.363,4.68
8.0,,,209031.837,-1.397,1.4,3.172,4.3,2.353,2.34,9.352,8.658
9.0,,,221373.406,-1.398,1.4,3.174,4.3,2.35,2.34,9.34,8.661
10.0,,,233681.82,-1.397,1.4,3.136,4.3,2.347,2.34,9.333,8.653
11.0,,,698192.234,-2.801,2.801,3.006,4.299,2.962,2.846,11.982,10.962
12.0,,,706657.609,-4.2,1.351,2.999,4.302,1.403,2.652,5.816,9.382
13.0,,,718365.289,-4.2,1.351,2.999,4.301,2.638,2.647,10.582,9.372
14.0,,,730090.601,-4.2,1.351,2.999,4.302,2.636,2.645,10.573,9.367
15.0,,,741770.503,-4.2,1.352,2.999,4.302,2.633,2.642,10.561,9.357
16.0,,,753434.121,-4.2,1.352,2.999,4.301,2.63,2.639,10.548,9.349
17.0,,,765061.609,-4.199,1.352,2.999,4.301,2.627,2.638,10.537,9.343
18.0,,,776663.5,-4.199,1.352,2.999,4.301,2.624,2.631,10.524,9.32
19.0,,,788310.218,-4.199,1.352,2.999,4.301,2.622,2.631,10.516,9.323
20.0,,,799936.07,-4.199,1.352,2.999,4.302,2.619,2.625,10.505,9.302
21.0,,,811538.085,-4.199,1.352,2.999,4.302,2.615,2.623,10.493,9.291
22.0,,,823150.25,-4.199,1.352,2.999,4.302,2.613,2.619,10.482,9.278
23.0,,,834723.75,-4.2,1.352,2.999,4.302,2.609,2.614,10.47,9.26
24.0,,,846299.656,-4.199,1.352,2.999,4.301,2.608,2.617,10.465,9.272
25.0,,,857832.625,-4.199,1.352,2.999,4.302,2.606,2.615,10.456,9.267
26.0,,,869387.656,-4.2,1.352,2.999,4.301,2.603,2.61,10.447,9.247
27.0,,,880944.843,-4.2,1.352,3.004,4.302,2.601,2.608,10.438,9.244
28.0,,,892491.656,-4.199,1.352,2.999,4.301,2.598,2.606,10.427,9.232
29.0,,,904029.671,-4.199,1.351,3.008,4.301,2.596,2.602,10.418,9.223
30.0,,,915549.453,-4.2,1.351,2.999,4.301,2.593,2.605,10.407,9.231
31.0,,,927090.734,-4.2,1.352,2.999,4.302,2.591,2.601,10.402,9.214
32.0,,,938604.203,-4.2,1.352,2.999,4.302,2.589,2.599,10.393,9.21
33.0,,,950070.093,-4.2,1.351,2.999,4.301,2.587,2.594,10.385,9.191
34.0,,,961541.296,-4.2,1.352,2.999,4.301,2.585,2.595,10.378,9.192
35.0,,,1016267.515,-4.2,1.351,3.002,4.302,2.64,2.769,10.608,9.896
36.0,,,1027831.703,-4.199,1.352,2.999,4.301,2.586,2.606,10.413,9.222
37.0,,,1039337.203,-4.199,1.352,3.005,4.301,2.592,2.598,10.405,9.204
38.0,,,1050835.203,-4.199,1.352,2.999,4.302,2.589,2.598,10.395,9.2
39.0,,,1062326.046,-4.199,1.352,2.999,4.302,2.586,2.594,10.382,9.184
40.0,,,1073801.328,-4.2,1.351,2.999,4.302,2.582,2.588,10.366,9.162
41.0,,,1085267.046,-4.199,1.352,2.999,4.301,2.578,2.59,10.353,9.174
42.0,,,1096696.89,-4.2,1.351,2.999,4.302,2.575,2.584,10.341,9.152
43.0,,,1108109.515,-4.2,1.351,2.999,4.302,2.572,2.581,10.329,9.14
44.0,,,1119557.734,-4.199,1.351,2.999,4.302,2.57,2.582,10.323,9.143
45.0,,,1130945.015,-4.199,1.351,3.002,4.302,2.568,2.578,10.313,9.128
46.0,,,1142363.421,-4.2,1.351,2.999,4.302,2.566,2.578,10.306,9.127
47.0,,,1153765.078,-4.2,1.351,2.999,4.302,2.563,2.571,10.293,9.1
48.0,,,1165152.859,-4.2,1.351,2.999,4.302,2.561,2.57,10.286,9.095
49.0,,,1176532.984,-4.2,1.351,2.999,4.301,2.558,2.57,10.277,9.095
50.0,,,1187893.296,-4.2,1.351,2.999,4.302,2.557,2.569,10.271,9.093
51.0,,,1199258.671,-4.2,1.351,2.999,4.302,2.555,2.566,10.264,9.083
52.0,,,1210583.734,-4.199,1.351,2.999,4.301,2.552,2.561,10.254,9.065
53.0,,,1221911.265,-4.2,1.351,2.999,4.301,2.551,2.564,10.247,9.074
54.0,,,1233232.046,-4.2,1.351,2.999,4.301,2.549,2.558,10.24,9.051
55.0,,,1244576.859,-4.199,1.351,2.999,4.301,2.547,2.557,10.233,9.051
56.0,,,1255908.171,-4.199,1.351,2.999,4.302,2.545,2.554,10.227,9.038
57.0,,,1267208.796,-4.199,1.351,2.999,4.301,2.543,2.555,10.218,9.042
58.0,,,1278539.046,-4.2,1.352,2.999,4.302,2.542,2.553,10.216,9.032
59.0,,,1332781.296,-4.2,1.352,3.001,4.301,2.596,2.724,10.441,9.725
60.0,,,1553973.718,-0.112,0.109,3.009,4.299,2.579,2.768,10.063,10.681
61.0,,,1565741.078,-4.199,1.351,2.999,4.299,2.658,2.554,10.682,9.009
62.0,,,1577155.062,-4.2,1.351,2.999,4.299,2.552,2.569,10.256,9.077
63.0,,,1588550.101,-4.2,1.351,2.999,4.299,2.551,2.559,10.249,9.036
64.0,,,1599939.507,-4.199,1.352,2.999,4.299,2.549,2.54,10.24,8.975
65.0,,,1611331.476,-4.199,1.352,2.999,4.3,2.546,2.546,10.23,8.997
66.0,,,1622683.828,-4.199,1.352,2.999,4.301,2.543,2.545,10.217,8.992
67.0,,,1634050.679,-4.199,1.351,2.999,4.302,2.541,2.555,10.208,9.031
68.0,,,1645404.437,-4.2,1.352,2.999,4.299,2.537,2.548,10.196,9.004
69.0,,,1656747.992,-4.199,1.352,2.999,4.299,2.535,2.53,10.188,8.941
70.0,,,1668068.851,-4.199,1.352,2.999,4.3,2.532,2.538,10.177,8.978
71.0,,,1679354.296,-4.2,1.351,2.999,4.301,2.53,2.54,10.168,8.983
72.0,,,1690645.687,-4.2,1.352,2.999,4.302,2.527,2.545,10.158,9.002
73.0,,,1701901.812,-4.2,1.351,2.999,4.299,2.524,2.546,10.146,9.008
74.0,,,1713177.046,-4.199,1.351,2.999,4.299,2.523,2.538,10.14,8.97
75.0,,,1724461.328,-4.199,1.352,2.999,4.299,2.521,2.53,10.133,8.953
76.0,,,1735724.125,-4.199,1.351,2.999,4.3,2.518,2.519,10.122,8.906
77.0,,,1746997.046,-4.199,1.351,2.999,4.301,2.516,2.525,10.115,8.932
78.0,,,1758228.828,-4.199,1.352,2.999,4.302,2.514,2.523,10.107,8.923
79.0,,,1769464.625,-4.199,1.352,2.999,4.299,2.512,2.526,10.098,8.935
80.0,,,1780735.671,-4.199,1.351,2.999,4.299,2.51,2.527,10.094,8.936
81.0,,,1791967.671,-4.199,1.351,2.999,4.299,2.508,2.527,10.083,8.932
82.0,,,1803174.109,-4.199,1.352,2.999,4.299,2.506,2.499,10.077,8.832
83.0,,,1814405.906,-4.2,1.352,2.999,4.3,2.504,2.514,10.071,8.894
84.0,,,1868566.125,-4.2,1.352,3.004,4.301,2.558,2.684,10.301,9.575
85.0,,,1880158.093,-4.199,1.351,2.999,4.299,2.502,2.513,10.094,8.867
86.0,,,1891416.812,-4.199,1.352,2.999,4.3,2.508,2.52,10.088,8.903
87.0,,,1902646.312,-4.199,1.351,2.999,4.3,2.507,2.512,10.084,8.884
88.0,,,1913871.687,-4.199,1.351,2.999,4.301,2.504,2.511,10.071,8.878
89.0,,,1925059.187,-4.199,1.352,2.999,4.299,2.5,2.512,10.056,8.878
90.0,,,1936265.656,-4.199,1.351,2.999,4.299,2.498,2.503,10.049,8.841
91.0,,,1947456.718,-4.2,1.351,3.002,4.299,2.496,2.517,10.039,8.897
92.0,,,1958647.656,-4.199,1.351,2.999,4.3,2.493,2.503,10.03,8.853
93.0,,,1969805.25,-4.199,1.351,2.999,4.301,2.491,2.485,10.021,8.779
94.0,,,1980994.156,-4.199,1.352,2.999,4.302,2.489,2.504,10.013,8.856
95.0,,,1992138.468,-4.199,1.352,2.999,4.299,2.485,2.501,10.0,8.84
96.0,,,2003288.375,-4.199,1.352,2.999,4.299,2.484,2.484,9.994,8.77
97.0,,,2014403.562,-4.199,1.352,2.999,4.3,2.481,2.486,9.983,8.775
98.0,,,2025550.468,-4.199,1.352,3.0,4.301,2.479,2.491,9.978,8.811
99.0,,,2036663.5,-4.199,1.352,2.999,4.301,2.478,2.472,9.972,8.734
100.0,,,2047770.906,-4.2,1.352,2.999,4.299,2.475,2.471,9.962,8.725
101.0,,,2058870.0,-4.199,1.352,2.999,4.299,2.472,2.488,9.95,8.793
102.0,,,2069997.937,-4.199,1.352,2.999,4.299,2.471,2.484,9.945,8.778
103.0,,,2081087.031,-4.199,1.352,2.999,4.299,2.469,2.484,9.938,8.775
104.0,,,2092195.281,-4.199,1.352,2.999,4.3,2.467,2.475,9.931,8.737
105.0,,,2103289.343,-4.199,1.351,2.999,4.301,2.465,2.474,9.922,8.749
106.0,,,2114379.593,-4.199,1.352,2.999,4.302,2.463,2.473,9.917,8.742
107.0,,,2125473.968,-4.199,1.351,2.999,4.299,2.445,2.464,9.855,8.699
108.0,,,2179528.968,-4.2,1.352,3.006,4.301,2.462,2.64,9.942,9.406
109.0,,,2398039.531,-0.113,0.109,3.011,4.299,2.521,2.713,9.847,10.474
