Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,14839.806,-1.402,1.35,2.799,4.353,2.887,0.999,11.659,3.5
2.0,,,34072.64,-1.402,1.35,2.799,4.352,2.864,2.854,11.537,10.664
3.0,,,53169.535,-1.402,1.35,2.799,4.353,2.85,2.842,11.48,10.633
4.0,,,72168.382,-1.402,1.35,2.799,4.353,2.848,2.841,11.467,10.634
5.0,,,80073.601,-1.402,0.0,2.799,4.244,0.0,2.84,0.0,10.634
6.0,,,187837.125,-1.401,1.35,2.799,4.353,2.849,2.848,11.471,10.882
7.0,,,197419.236,-1.399,1.403,2.999,4.3,2.355,1.308,9.372,4.673
8.0,,,209738.083,-1.399,1.403,3.123,4.3,2.355,2.342,9.361,8.658
9.0,,,222041.156,-1.399,1.402,2.999,4.3,2.351,2.362,9.348,8.722
10.0,,,234310.851,-1.399,1.402,2.999,4.3,2.348,2.355,9.34,8.69
11.0,,,697453.281,-2.802,2.804,2.999,4.3,2.854,2.776,11.644,10.695
12.0,,,705946.91,-4.203,1.352,2.999,4.304,1.413,2.646,5.857,9.354
13.0,,,717703.71,-4.203,1.352,2.999,4.303,2.644,2.65,10.61,9.376
14.0,,,729444.605,-4.203,1.352,2.999,4.303,2.642,2.643,10.601,9.353
15.0,,,741179.55,-4.203,1.352,2.999,4.303,2.639,2.643,10.591,9.352
16.0,,,752919.07,-4.203,1.352,2.999,4.303,2.638,2.64,10.584,9.346
17.0,,,764632.257,-4.203,1.352,2.999,4.303,2.636,2.638,10.577,9.337
18.0,,,776353.468,-4.203,1.352,2.999,4.303,2.633,2.635,10.566,9.328
19.0,,,788058.304,-4.203,1.352,2.999,4.303,2.63,2.632,10.554,9.318
20.0,,,799733.343,-4.203,1.352,2.999,4.303,2.626,2.629,10.541,9.305
21.0,,,811398.976,-4.203,1.352,2.999,4.304,2.624,2.624,10.531,9.289
22.0,,,823071.039,-4.203,1.352,2.999,4.303,2.62,2.623,10.517,9.284
23.0,,,834718.203,-4.203,1.352,2.999,4.303,2.617,2.618,10.507,9.27
24.0,,,846334.265,-4.203,1.352,2.999,4.303,2.614,2.618,10.495,9.267
25.0,,,857961.984,-4.203,1.352,2.999,4.304,2.613,2.612,10.488,9.25
26.0,,,869552.484,-4.203,1.352,2.999,4.303,2.609,2.61,10.476,9.24
27.0,,,881151.0,-4.203,1.352,2.999,4.303,2.607,2.61,10.468,9.238
28.0,,,892748.031,-4.203,1.352,2.999,4.303,2.605,2.607,10.459,9.228
29.0,,,904319.515,-4.203,1.353,2.999,4.303,2.602,2.604,10.448,9.217
30.0,,,915875.39,-4.203,1.352,2.999,4.303,2.599,2.601,10.437,9.207
31.0,,,927419.109,-4.203,1.353,2.999,4.304,2.597,2.601,10.429,9.205
32.0,,,938950.39,-4.203,1.352,2.999,4.303,2.595,2.598,10.422,9.196
33.0,,,950475.234,-4.203,1.353,2.999,4.303,2.593,2.596,10.413,9.186
34.0,,,961981.156,-4.203,1.352,2.999,4.303,2.59,2.593,10.404,9.176
35.0,,,1016757.968,-4.203,1.352,2.999,4.304,2.589,2.594,10.432,9.163
36.0,,,1028355.156,-4.203,1.352,2.999,4.303,2.591,2.602,10.439,9.201
37.0,,,1039908.25,-4.203,1.352,2.999,4.303,2.597,2.598,10.431,9.193
38.0,,,1051451.375,-4.203,1.352,2.999,4.303,2.594,2.593,10.42,9.173
39.0,,,1062965.156,-4.203,1.352,2.999,4.304,2.59,2.592,10.405,9.169
40.0,,,1074504.406,-4.203,1.352,2.999,4.304,2.588,2.589,10.395,9.157
41.0,,,1085961.968,-4.203,1.352,2.999,4.303,2.582,2.585,10.374,9.145
42.0,,,1097462.156,-4.203,1.352,2.999,4.303,2.58,2.584,10.367,9.139
43.0,,,1108916.375,-4.203,1.352,2.999,4.304,2.578,2.58,10.356,9.127
44.0,,,1120390.906,-4.202,1.352,2.999,4.304,2.575,2.579,10.348,9.121
45.0,,,1131853.281,-4.203,1.353,2.999,4.304,2.573,2.576,10.339,9.11
46.0,,,1143322.218,-4.202,1.353,2.999,4.304,2.571,2.573,10.332,9.099
47.0,,,1154720.187,-4.203,1.353,2.999,4.304,2.567,2.568,10.318,9.079
48.0,,,1166149.593,-4.203,1.353,2.999,4.304,2.566,2.568,10.311,9.079
49.0,,,1177555.156,-4.203,1.352,2.999,4.304,2.562,2.565,10.299,9.069
50.0,,,1188935.843,-4.203,1.352,2.999,4.303,2.56,2.562,10.29,9.059
51.0,,,1200304.25,-4.203,1.352,2.999,4.304,2.559,2.562,10.284,9.059
52.0,,,1211680.625,-4.203,1.352,2.999,4.304,2.557,2.56,10.277,9.051
53.0,,,1223046.531,-4.203,1.353,2.999,4.303,2.555,2.558,10.27,9.043
54.0,,,1234429.468,-4.203,1.353,2.999,4.303,2.553,2.556,10.265,9.035
55.0,,,1245789.593,-4.203,1.352,2.999,4.303,2.55,2.555,10.253,9.029
56.0,,,1257157.781,-4.203,1.352,2.999,4.304,2.549,2.551,10.248,9.016
57.0,,,1268484.906,-4.203,1.353,2.999,4.304,2.547,2.551,10.238,9.016
58.0,,,1279813.781,-4.203,1.352,2.999,4.303,2.545,2.548,10.231,9.006
59.0,,,1334392.468,-4.203,1.352,2.999,4.304,2.544,2.547,10.259,8.984
