Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,14766.558,-1.399,1.355,2.799,4.352,2.874,1.011,11.619,3.533
2.0,,,33968.031,-1.398,1.355,2.799,4.352,2.855,2.866,11.511,10.694
3.0,,,52988.863,-1.399,1.355,2.799,4.352,2.841,2.854,11.45,10.665
4.0,,,71918.593,-1.399,1.355,2.799,4.352,2.838,2.851,11.434,10.66
5.0,,,79849.343,-1.398,0.0,2.799,4.24,0.0,2.847,0.0,10.649
6.0,,,187675.906,-1.399,1.355,2.799,4.352,2.836,2.867,11.427,10.951
7.0,,,197254.561,-1.399,1.398,3.054,4.3,2.324,1.311,9.253,4.681
8.0,,,209531.777,-1.399,1.398,3.103,4.3,2.323,2.343,9.237,8.651
9.0,,,221786.914,-1.399,1.398,3.098,4.3,2.319,2.343,9.224,8.651
10.0,,,234013.281,-1.399,1.398,3.048,4.3,2.318,2.343,9.22,8.641
11.0,,,698741.718,-2.801,2.799,3.003,4.299,2.942,2.895,11.909,11.152
12.0,,,707178.069,-4.202,1.348,3.005,4.302,1.397,2.641,5.792,9.329
13.0,,,718861.013,-4.202,1.348,2.999,4.301,2.621,2.637,10.522,9.313
14.0,,,730557.013,-4.202,1.348,2.999,4.302,2.618,2.637,10.512,9.316
15.0,,,742190.39,-4.202,1.348,2.999,4.302,2.614,2.629,10.496,9.291
16.0,,,753800.98,-4.202,1.348,2.999,4.302,2.611,2.627,10.483,9.283
17.0,,,765435.539,-4.202,1.348,2.999,4.302,2.609,2.623,10.474,9.27
18.0,,,777050.515,-4.202,1.348,2.999,4.302,2.605,2.623,10.461,9.269
19.0,,,788673.812,-4.202,1.348,2.999,4.302,2.603,2.618,10.451,9.251
20.0,,,800240.117,-4.202,1.348,2.999,4.302,2.599,2.616,10.437,9.245
21.0,,,811824.023,-4.202,1.348,2.999,4.302,2.597,2.615,10.428,9.244
22.0,,,823388.054,-4.202,1.348,2.999,4.301,2.593,2.612,10.414,9.231
23.0,,,834881.109,-4.202,1.348,2.999,4.301,2.59,2.603,10.4,9.198
24.0,,,846384.656,-4.202,1.348,2.999,4.302,2.587,2.606,10.392,9.211
25.0,,,857871.64,-4.202,1.348,2.999,4.302,2.586,2.603,10.385,9.201
26.0,,,869368.562,-4.202,1.348,2.999,4.302,2.583,2.602,10.376,9.193
27.0,,,880860.281,-4.202,1.348,2.999,4.301,2.581,2.598,10.369,9.178
28.0,,,892349.203,-4.202,1.348,2.999,4.301,2.579,2.598,10.359,9.18
29.0,,,903819.515,-4.202,1.348,2.999,4.302,2.577,2.593,10.351,9.164
30.0,,,915272.281,-4.202,1.348,3.006,4.302,2.574,2.591,10.342,9.155
31.0,,,926758.734,-4.202,1.348,2.999,4.301,2.573,2.592,10.337,9.161
32.0,,,938202.64,-4.202,1.348,2.999,4.302,2.571,2.587,10.328,9.143
33.0,,,949643.281,-4.202,1.348,2.999,4.302,2.569,2.584,10.322,9.129
34.0,,,961090.218,-4.202,1.348,2.999,4.302,2.567,2.584,10.314,9.13
35.0,,,1015491.781,-4.202,1.348,3.003,4.302,2.623,2.762,10.547,9.852
36.0,,,1027281.281,-4.202,1.348,2.999,4.302,2.57,2.594,10.354,9.162
37.0,,,1038752.468,-4.202,1.348,2.999,4.302,2.574,2.592,10.344,9.159
38.0,,,1050192.25,-4.202,1.348,2.999,4.302,2.572,2.589,10.334,9.143
39.0,,,1061630.531,-4.202,1.348,2.999,4.301,2.567,2.581,10.316,9.116
40.0,,,1073047.031,-4.202,1.348,2.999,4.302,2.564,2.58,10.302,9.111
41.0,,,1084441.531,-4.202,1.348,2.999,4.302,2.56,2.578,10.289,9.105
