Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2013-05-25 12:00:12,2013-05-25 16:05:26,14720.415,-1.4,1.352,2.799,4.35,2.873,1.009,11.609,3.529
2.0,2013-05-25 16:05:33,2013-05-25 21:24:30,33864.574,-1.401,1.352,2.799,4.35,2.854,2.864,11.501,10.685
3.0,2013-05-25 21:24:37,2013-05-26 02:41:27,52881.023,-1.4,1.352,2.799,4.351,2.845,2.856,11.461,10.67
4.0,2013-05-26 02:41:34,2013-05-26 07:56:47,71801.89,-1.4,1.352,2.799,4.351,2.84,2.852,11.438,10.661
5.0,2013-05-26 07:56:55,2013-05-26 10:08:59,79732.992,-1.4,0.0,2.799,4.239,0.0,2.848,0.0,10.649
6.0,2013-05-26 10:09:05,2013-05-27 16:04:01,187435.484,-1.4,1.352,2.799,4.351,7.017,5.714,28.071,21.59
7.0,2014-08-11 11:55:20,2014-08-11 14:34:53,197011.035,-1.401,1.402,3.175,4.3,2.415,1.296,9.591,4.634
8.0,2014-08-11 14:36:24,2014-08-11 17:59:53,209310.492,-1.401,1.402,3.092,4.3,2.397,2.347,9.517,8.651
9.0,2014-08-11 18:01:23,2014-08-11 21:24:26,221583.707,-1.401,1.402,3.082,4.3,2.395,2.347,9.514,8.651
10.0,2014-08-11 21:25:57,2014-08-12 00:48:27,233824.89,-1.401,1.402,3.026,4.3,2.351,2.347,9.337,8.64
11.0,2014-08-12 00:53:28,2014-08-18 05:34:14,696598.578,-2.801,2.8,3.002,4.3,8.856,10.137,35.049,38.389
12.0,2014-08-19 13:08:56,2014-08-19 15:30:53,705118.127,-4.2,1.351,2.999,4.302,1.412,2.647,5.85,9.355
13.0,2014-08-19 15:30:56,2014-08-19 18:47:16,716900.367,-4.2,1.351,2.999,4.302,2.632,2.641,10.563,9.343
14.0,2014-08-19 18:47:18,2014-08-19 22:03:06,728650.992,-4.2,1.351,2.999,4.301,2.628,2.638,10.546,9.33
15.0,2014-08-19 22:03:09,2014-08-20 01:18:51,740396.398,-4.2,1.351,2.999,4.301,2.624,2.632,10.533,9.308
16.0,2014-08-20 01:18:54,2014-08-20 04:33:57,752101.937,-4.2,1.351,2.999,4.302,2.621,2.626,10.521,9.288
