Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2013-05-25 12:00:12,2013-05-25 16:04:35,14664.831,-1.4,1.351,2.817,4.353,2.878,1.006,11.619,3.522
2.0,2013-05-25 16:04:43,2013-05-25 21:22:46,33755.39,-1.4,1.351,2.81,4.354,2.857,2.865,11.504,10.698
3.0,2013-05-25 21:22:53,2013-05-26 02:38:48,52722.781,-1.4,1.351,2.807,4.353,2.844,2.853,11.449,10.67
4.0,2013-05-26 02:38:56,2013-05-26 07:54:11,71645.179,-1.4,1.351,2.803,4.353,2.839,2.854,11.43,10.677
5.0,2013-05-26 07:54:18,2013-05-26 10:06:25,79579.804,-1.4,0.0,2.799,4.244,0.0,2.851,0.0,10.672
6.0,2013-05-26 10:06:42,2013-05-27 16:00:18,187212.453,-1.4,1.351,2.799,4.354,7.065,5.756,28.224,21.777
7.0,2014-08-11 11:55:54,2014-08-11 14:34:31,196731.62,-1.4,1.401,2.999,4.3,2.346,1.331,9.354,4.727
8.0,2014-08-11 14:36:02,2014-08-11 17:57:10,208890.435,-1.4,1.401,2.999,4.3,2.36,2.334,9.406,8.557
9.0,2014-08-11 17:58:40,2014-08-11 21:19:29,221028.996,-1.4,1.401,2.999,4.3,2.346,2.333,9.349,8.554
10.0,2014-08-11 21:20:59,2014-08-12 00:41:19,233135.074,-1.4,1.401,2.999,4.299,2.346,2.325,9.351,8.522
11.0,2014-08-12 00:46:20,2014-08-18 06:39:12,700219.609,-2.799,2.802,2.999,4.3,8.52,9.775,33.963,36.78
12.0,2014-08-19 13:09:19,2014-08-19 15:33:18,708860.344,-4.199,1.351,2.999,4.303,1.409,2.648,5.853,9.273
13.0,2014-08-19 15:33:20,2014-08-19 18:52:44,720826.935,-4.199,1.351,2.999,4.303,2.637,2.647,10.618,9.271
