Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2013-05-25 12:00:12,2013-05-25 16:09:20,14949.342,-1.398,1.353,2.837,4.353,2.889,1.035,11.687,3.616
2.0,2013-05-25 16:09:27,2013-05-25 21:31:49,34303.488,-1.398,1.354,2.833,4.353,2.864,2.856,11.561,10.644
3.0,2013-05-25 21:31:57,2013-05-26 02:51:23,53477.789,-1.399,1.353,2.828,4.353,2.852,2.848,11.51,10.626
4.0,2013-05-26 02:51:31,2013-05-26 08:10:09,72603.804,-1.399,1.353,2.814,4.353,2.849,2.846,11.5,10.621
5.0,2013-05-26 08:10:17,2013-05-26 10:22:11,80524.898,-1.398,0.0,2.81,4.233,0.0,2.843,0.0,10.613
6.0,2013-05-26 10:22:27,2013-05-27 16:21:49,188503.078,-1.398,1.353,2.837,4.353,7.056,5.73,28.272,21.639
7.0,2014-08-11 11:55:54,2014-08-11 14:35:14,198064.676,-1.398,1.399,3.02,4.3,2.346,1.328,9.335,4.727
8.0,2014-08-11 14:36:44,2014-08-11 17:59:12,210302.564,-1.399,1.399,3.025,4.3,2.346,2.342,9.325,8.615
9.0,2014-08-11 18:00:42,2014-08-11 21:22:43,222513.859,-1.399,1.398,2.999,4.3,2.365,2.344,9.414,8.617
10.0,2014-08-11 21:24:13,2014-08-12 00:45:44,234695.046,-1.399,1.399,3.158,4.3,2.389,2.308,9.498,8.501
11.0,2014-08-12 00:50:44,2014-08-18 06:28:44,700848.453,-2.8,2.801,2.999,4.3,8.496,9.774,33.834,36.845
12.0,2014-08-19 13:09:19,2014-08-19 15:32:01,709412.642,-4.201,1.349,2.999,4.302,1.406,2.651,5.833,9.343
13.0,2014-08-19 15:32:04,2014-08-19 18:49:44,721275.234,-4.201,1.349,2.999,4.302,2.638,2.647,10.599,9.331
14.0,2014-08-19 18:49:46,2014-08-19 22:07:41,733152.898,-4.201,1.349,2.999,4.302,2.635,2.646,10.588,9.329
15.0,2014-08-19 22:07:44,2014-08-20 01:25:03,744994.179,-4.201,1.349,2.999,4.302,2.632,2.641,10.576,9.313
16.0,2014-08-20 01:25:05,2014-08-20 04:41:38,756789.152,-4.201,1.349,2.999,4.301,2.629,2.638,10.564,9.304
17.0,2014-08-20 04:41:40,2014-08-20 07:58:29,768600.226,-4.201,1.349,2.999,4.302,2.626,2.644,10.554,9.329
18.0,2014-08-20 07:58:31,2014-08-20 11:14:18,780349.476,-4.201,1.349,2.999,4.301,2.623,2.63,10.54,9.275
19.0,2014-08-20 11:14:20,2014-08-20 14:30:30,792121.156,-4.201,1.349,2.999,4.302,2.619,2.627,10.528,9.265
20.0,2014-08-20 14:30:32,2014-08-20 17:46:08,803859.812,-4.201,1.349,2.999,4.302,2.616,2.626,10.516,9.259
21.0,2014-08-20 17:46:11,2014-08-20 21:02:11,815622.015,-4.201,1.349,2.999,4.302,2.614,2.621,10.507,9.244
22.0,2014-08-20 21:02:13,2014-08-21 00:17:48,827358.945,-4.201,1.349,2.999,4.302,2.61,2.618,10.493,9.234
23.0,2014-08-21 00:17:50,2014-08-21 03:33:37,839108.671,-4.201,1.349,2.999,4.302,2.608,2.618,10.485,9.232
24.0,2014-08-21 03:33:40,2014-08-21 06:48:52,850823.593,-4.201,1.349,2.999,4.302,2.605,2.615,10.472,9.222
25.0,2014-08-21 06:48:54,2014-08-21 10:03:06,862477.125,-4.201,1.349,2.999,4.302,2.601,2.61,10.458,9.204
26.0,2014-08-21 10:03:08,2014-08-21 13:17:11,874122.593,-4.201,1.349,2.999,4.302,2.598,2.607,10.447,9.193
27.0,2014-08-21 13:17:13,2014-08-21 16:31:43,885794.203,-4.201,1.349,2.999,4.302,2.596,2.604,10.439,9.183
28.0,2014-08-21 16:31:45,2014-08-21 19:45:54,897445.921,-4.201,1.349,2.999,4.302,2.593,2.604,10.428,9.179
29.0,2014-08-21 19:45:57,2014-08-21 23:00:22,909113.125,-4.201,1.349,2.999,4.302,2.591,2.599,10.421,9.163
30.0,2014-08-21 23:00:24,2014-08-22 02:14:16,920747.812,-4.201,1.349,2.999,4.302,2.589,2.596,10.411,9.152
