Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,2013-05-25 12:00:12,2013-05-25 16:05:44,14738.718,-1.399,1.351,2.837,4.351,2.873,1.008,11.612,3.525
2.0,2013-05-25 16:05:52,2013-05-25 21:25:20,33913.597,-1.399,1.351,2.814,4.352,2.853,2.865,11.502,10.685
3.0,2013-05-25 21:25:27,2013-05-26 02:42:59,52972.863,-1.399,1.351,2.807,4.351,2.846,2.857,11.467,10.669
4.0,2013-05-26 02:43:06,2013-05-26 07:59:15,71949.789,-1.399,1.351,2.844,4.351,2.838,2.852,11.436,10.658
5.0,2013-05-26 07:59:23,2013-05-26 10:11:35,79888.828,-1.399,0.0,2.837,4.237,0.0,2.849,0.0,10.651
6.0,2013-05-26 10:11:51,2013-05-27 16:08:25,187699.031,-1.399,1.351,2.811,4.352,7.039,5.755,28.148,21.754
7.0,2014-08-11 11:55:54,2014-08-11 14:35:39,197286.293,-1.401,1.399,2.999,4.3,2.389,1.33,9.509,4.733
8.0,2014-08-11 14:37:10,2014-08-11 18:00:16,209562.773,-1.401,1.399,2.999,4.3,2.385,2.354,9.481,8.662
9.0,2014-08-11 18:01:46,2014-08-11 21:24:25,221811.636,-1.401,1.399,2.999,4.3,2.343,2.352,9.306,8.656
10.0,2014-08-11 21:25:55,2014-08-12 00:48:05,234031.863,-1.401,1.399,2.999,4.3,2.343,2.344,9.308,8.622
11.0,2014-08-12 00:53:05,2014-08-18 05:42:34,697277.593,-2.805,2.796,2.999,4.3,8.524,9.734,33.922,36.72
12.0,2014-08-19 13:09:19,2014-08-19 15:31:18,705798.746,-4.204,1.348,2.999,4.301,1.409,2.64,5.841,9.332
13.0,2014-08-19 15:31:21,2014-08-19 18:47:54,717594.746,-4.204,1.348,2.999,4.301,2.634,2.638,10.572,9.326
14.0,2014-08-19 18:47:57,2014-08-19 22:03:55,729355.066,-4.204,1.348,2.999,4.301,2.629,2.632,10.553,9.307
15.0,2014-08-19 22:03:57,2014-08-20 01:19:55,741115.738,-4.204,1.348,2.999,4.301,2.627,2.629,10.544,9.298
16.0,2014-08-20 01:19:58,2014-08-20 04:35:38,752858.488,-4.204,1.348,2.999,4.301,2.624,2.626,10.532,9.289
17.0,2014-08-20 04:35:40,2014-08-20 07:51:11,764591.515,-4.204,1.348,2.999,4.301,2.621,2.627,10.523,9.29
18.0,2014-08-20 07:51:13,2014-08-20 11:06:44,776324.476,-4.204,1.348,2.999,4.301,2.618,2.624,10.511,9.279
19.0,2014-08-20 11:06:46,2014-08-20 14:21:57,788037.593,-4.204,1.348,2.999,4.301,2.615,2.621,10.499,9.269
20.0,2014-08-20 14:21:59,2014-08-20 17:36:56,799736.054,-4.204,1.348,2.999,4.301,2.613,2.618,10.489,9.257
21.0,2014-08-20 17:36:58,2014-08-20 20:51:48,811428.156,-4.204,1.348,2.999,4.3,2.609,2.612,10.476,9.238
22.0,2014-08-20 20:51:50,2014-08-21 00:06:24,823104.765,-4.204,1.348,2.999,4.3,2.607,2.612,10.466,9.237
23.0,2014-08-21 00:06:27,2014-08-21 03:20:23,834743.546,-4.204,1.348,2.999,4.3,2.603,2.609,10.453,9.227
24.0,2014-08-21 03:20:25,2014-08-21 06:34:27,846387.703,-4.204,1.348,2.999,4.301,2.601,2.607,10.446,9.221
25.0,2014-08-21 06:34:30,2014-08-21 09:48:16,858016.0,-4.204,1.348,2.999,4.301,2.599,2.604,10.437,9.207
26.0,2014-08-21 09:48:18,2014-08-21 13:01:54,869634.75,-4.204,1.348,2.999,4.301,2.597,2.602,10.427,9.202
27.0,2014-08-21 13:01:57,2014-08-21 16:15:25,881244.921,-4.204,1.348,2.999,4.301,2.594,2.598,10.419,9.187
28.0,2014-08-21 16:15:27,2014-08-21 19:28:46,892846.296,-4.204,1.348,2.999,4.301,2.592,2.598,10.41,9.185
29.0,2014-08-21 19:28:48,2014-08-21 22:41:54,904433.984,-4.204,1.348,2.999,4.3,2.59,2.592,10.401,9.167
30.0,2014-08-21 22:41:56,2014-08-22 01:55:05,916025.781,-4.204,1.348,2.999,4.301,2.588,2.593,10.394,9.169
31.0,2014-08-22 01:55:08,2014-08-22 05:07:43,927583.093,-4.204,1.348,2.999,4.301,2.585,2.59,10.383,9.156
32.0,2014-08-22 05:07:45,2014-08-22 08:20:34,939154.078,-4.204,1.348,2.999,4.301,2.583,2.59,10.377,9.155
33.0,2014-08-22 08:20:36,2014-08-22 11:33:29,950729.75,-4.204,1.348,2.999,4.3,2.581,2.587,10.37,9.147
34.0,2014-08-22 11:33:32,2014-08-22 14:46:25,962305.406,-4.204,1.348,2.999,4.301,2.58,2.585,10.363,9.139
35.0,2014-08-22 14:51:25,2014-08-23 05:59:46,1017106.843,-4.204,1.348,2.999,4.3,2.578,2.589,10.387,9.14
36.0,2014-08-23 05:59:49,2014-08-23 09:13:30,1028730.656,-4.204,1.348,2.999,4.301,2.584,2.595,10.408,9.17
37.0,2014-08-23 09:13:33,2014-08-23 12:27:03,1040343.875,-4.204,1.348,2.999,4.301,2.589,2.589,10.399,9.152
